Team_ID,game_id,game_date,matchup,result,wins,losses,W_PCT,MIN,FGM,FGA,team_fg_pct,FG3M,FG3A,FG3_PCT,FTM,FTA,team_ft_pct,OREB,DREB,team_rebounds,team_assists,STL,BLK,team_turnovers,PF,team_points
1610612750,0022400406,"DEC 25, 2024",MIN @ DAL,W,15,14,0.517,240,40,86,0.465,14,32,0.438,11,13,0.846,8,38,46,23,8,5,10,14,105
1610612750,0022400395,"DEC 23, 2024",MIN @ ATL,L,14,14,0.5,240,39,91,0.429,14,43,0.326,12,13,0.923,16,27,43,31,12,3,21,17,104
1610612750,0022400383,"DEC 21, 2024",MIN vs. GSW,L,14,13,0.519,240,36,86,0.419,14,38,0.368,17,25,0.68,11,34,45,27,5,2,15,18,103
1610612750,0022400367,"DEC 19, 2024",MIN vs. NYK,L,14,12,0.538,240,41,89,0.461,17,42,0.405,8,13,0.615,6,31,37,29,10,5,13,15,107
1610612750,0022401218,"DEC 15, 2024",MIN @ SAS,W,14,11,0.56,240,40,100,0.4,12,35,0.343,14,16,0.875,14,37,51,26,11,4,12,13,106
1610612750,0022401210,"DEC 13, 2024",MIN vs. LAL,W,13,11,0.542,240,35,87,0.402,9,32,0.281,18,24,0.75,11,37,48,18,12,5,13,14,97
1610612750,0022400355,"DEC 08, 2024",MIN @ GSW,L,12,11,0.522,240,36,79,0.456,19,42,0.452,15,20,0.75,7,32,39,22,6,8,14,18,106
1610612750,0022400338,"DEC 06, 2024",MIN @ GSW,W,12,10,0.545,240,40,88,0.455,14,42,0.333,13,14,0.929,9,39,48,32,12,6,17,14,107
1610612750,0022400324,"DEC 04, 2024",MIN @ LAC,W,11,10,0.524,240,41,85,0.482,16,44,0.364,10,18,0.556,7,43,50,31,15,5,14,16,108
1610612750,0022400318,"DEC 02, 2024",MIN vs. LAL,W,10,10,0.5,240,41,81,0.506,15,35,0.429,12,15,0.8,7,36,43,31,11,2,15,17,109
1610612750,0022400044,"NOV 29, 2024",MIN vs. LAC,W,9,10,0.474,240,31,75,0.413,15,39,0.385,16,20,0.8,11,38,49,25,8,5,21,14,93
1610612750,0022400294,"NOV 27, 2024",MIN vs. SAC,L,8,10,0.444,240,33,74,0.446,14,39,0.359,24,27,0.889,4,29,33,25,11,9,15,19,104
1610612750,0022400037,"NOV 26, 2024",MIN vs. HOU,L,8,9,0.471,265,42,98,0.429,9,38,0.237,18,20,0.9,14,38,52,21,6,4,17,18,111
1610612750,0022400271,"NOV 24, 2024",MIN @ BOS,L,8,8,0.5,240,37,88,0.42,15,41,0.366,16,21,0.762,11,38,49,19,2,1,8,18,105
1610612750,0022400261,"NOV 21, 2024",MIN @ TOR,L,8,7,0.533,240,33,80,0.413,12,35,0.343,27,33,0.818,10,30,40,16,12,5,17,24,105
1610612750,0022400234,"NOV 17, 2024",MIN vs. PHX,W,8,6,0.571,240,42,80,0.525,17,39,0.436,19,26,0.731,9,23,32,27,8,6,14,13,120
1610612750,0022400020,"NOV 15, 2024",MIN @ SAC,W,7,6,0.538,265,48,101,0.475,20,49,0.408,14,16,0.875,10,31,41,26,9,4,11,19,130
1610612750,0022400226,"NOV 13, 2024",MIN @ POR,L,6,6,0.5,240,37,94,0.394,7,39,0.179,17,22,0.773,13,28,41,16,12,3,13,19,98
1610612750,0022400008,"NOV 12, 2024",MIN @ POR,L,6,5,0.545,240,37,73,0.507,13,35,0.371,21,23,0.913,4,28,32,22,13,4,21,22,108
1610612750,0022400206,"NOV 10, 2024",MIN vs. MIA,L,6,4,0.6,240,35,88,0.398,13,45,0.289,11,13,0.846,16,31,47,22,13,5,19,20,94
1610612750,0022400193,"NOV 08, 2024",MIN vs. POR,W,6,3,0.667,240,47,97,0.485,22,50,0.44,11,14,0.786,10,39,49,32,9,7,17,21,127
1610612750,0022400181,"NOV 07, 2024",MIN @ CHI,W,5,3,0.625,240,51,93,0.548,16,38,0.421,17,17,1.0,10,30,40,29,7,4,13,17,135
1610612750,0022400162,"NOV 04, 2024",MIN vs. CHA,W,4,3,0.571,240,39,79,0.494,18,38,0.474,18,26,0.692,9,36,45,23,7,8,15,19,114
1610612750,0022400146,"NOV 02, 2024",MIN @ SAS,L,3,3,0.5,240,39,82,0.476,11,37,0.297,14,20,0.7,6,26,32,21,7,2,12,16,103
1610612750,0022400139,"NOV 01, 2024",MIN vs. DEN,W,3,2,0.6,240,43,83,0.518,18,42,0.429,15,18,0.833,8,30,38,34,8,9,16,22,119
1610612750,0022400114,"OCT 29, 2024",MIN vs. DAL,L,2,2,0.5,240,39,77,0.506,19,39,0.487,17,26,0.654,11,31,42,33,5,2,20,20,114
1610612750,0022400093,"OCT 26, 2024",MIN vs. TOR,W,2,1,0.667,240,39,83,0.47,14,37,0.378,20,26,0.769,9,32,41,29,9,8,13,16,112
1610612750,0022400076,"OCT 24, 2024",MIN @ SAC,W,1,1,0.5,240,41,86,0.477,20,50,0.4,15,17,0.882,6,36,42,24,3,2,16,24,117
1610612750,0022400062,"OCT 22, 2024",MIN @ LAL,L,0,1,0.0,240,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,15,22,103
